sample,Amylase activity (nmol/min/mL = mU/mL),Amylase corrected
ba262,2.079749123,2.079749123
ba263,33.7877567,33.7877567
ba264,13.15722613,13.15722613
ba265,11.42954623,11.42954623
ba266,38.2593988,38.2593988
ba267,33.88938493,33.88938493
ba268,1.571607976,1.571607976
ba269,17.62886822,17.62886822
ba270,38.9707964,38.9707964
ba271,4.620454859,4.620454859
ba272,6.653019447,6.653019447
ba274,6.449762988,6.449762988
ba275,22.60865147,22.60865147
ba276,23.21842084,23.21842084
ba277,5.128596006,5.128596006
ba278,4.823711318,4.823711318
ba279,2.079749123,2.079749123
ba280,1.978120894,1.978120894
ba281,25.25098543,25.25098543
ba318,21.81377353,21.81377353
ba326,35.80580297,35.80580297
ba335,107.1560792,107.1560792
ba347,2.892774959,2.892774959
ba359,5.738365383,5.738365383
ba369,44.76360548,44.76360548
ba375,42.52778443,42.52778443
ba382,24.94610074,24.94610074
ba410,26.1656395,26.1656395
ba423,55.94271072,55.94271072
ba442,21.18585625,21.18585625
ba461,26.26726773,26.26726773
ba471,46.08477246,46.08477246
ba490,22.30376678,22.30376678
ba495,29.19996806,29.19996806
ba356,1.312455991,1.312455991
ba286,1.876492665,1.876492665
ba357,1.353107283,1.353107283
ba836,6.157447,6.157447
ba837,29.17630643,29.17630643
ba838,0,0
ba839,14.17248053,14.17248053
ba840,25.26263672,25.26263672
ba841,0.858351713,0.858351713
ba842,2.311068101,2.311068101
ba843,5.000675159,5.000675159
ba844,0,0
ba845,19.00706666,19.00706666
ba846,36.1889544,36.1889544
ba847,0,0
