metabolte,HR,p,FDR
Acetic.Acid,1.07434474715098,0.0971099664229349,0.995921640494607
TCDCA,1.26943490154731,0.301980597375887,0.995921640494607
Tryptophan,0.978340835701459,0.363670451088473,0.995921640494607
LCA,1.19583925171569,0.382486756763511,0.995921640494607
TCA,1.03401325796648,0.413570545714111,0.995921640494607
Valeric.Acid,1.02944505977436,0.475166242212851,0.995921640494607
TLCA,1.15394732517021,0.500708067416402,0.995921640494607
TDCA,1.09198359507837,0.525606233617395,0.995921640494607
Glutamine,0.997086562920251,0.580902742030698,0.995921640494607
Taurine,1.00142173497343,0.607677363486351,0.995921640494607
Cysteine,1.01656652423524,0.640118855884192,0.995921640494607
Ornithine,1.00690494140045,0.67188526296809,0.995921640494607
Histidine,1.00520732343102,0.678169531719872,0.995921640494607
Phenylalanine,0.994902874839262,0.678233295517918,0.995921640494607
Tyrosine,0.985911951797632,0.695091281048173,0.995921640494607
Lysine,1.00174827973388,0.715025419484901,0.995921640494607
Valine,1.00238298691247,0.734349983747972,0.995921640494607
Threonine,1.00262954538581,0.759074710313096,0.995921640494607
Alanine,1.00105345738471,0.76564000535814,0.995921640494607
Glutamic.Acid,1.00102859109302,0.776750261105232,0.995921640494607
Aspartic.Acid,1.00183776092019,0.817170307891678,0.995921640494607
Asparagine,1.00573733106686,0.871760205459637,0.995921640494607
Serine,1.00051832487339,0.929865734373564,0.995921640494607
Arginine,0.998531721277804,0.95570547929505,0.995921640494607
Proline,0.999850510369403,0.970545649949105,0.995921640494607
Isoleucine,1.00039755441119,0.981057112911002,0.995921640494607
Leucine,1.00012362463427,0.986018664302674,0.995921640494607
Glycine,0.999984409716833,0.995921640494607,0.995921640494607
